Activacion,Tokens Id,Context
2.0647862, houses,"-@ controlled printing houses began operating in occupied Poland , publishing items such as Polish @-@ German dictionaries and antisemitic and anticommunist novels . 

 Censorship at first"
1.9196044, guns," , tools purchased or impressed , and the repair of the damaged guns I brought with me and about an equal number found at Little Rock commenced at once . But , after inspecting the work and observing the spirit"
1.8623966, houses," inflicted widespread damage , with many wharves severely damaged , and significant losses sustained by salt , sugar , rice , and lumber industries . The gable sections of three masonry houses were destroyed by wind"
1.8602047, villages," from small Sussex villages to major world capitals . "" When listed in the order in which the locations are narrated , the message "" Bagpuss Sees All Things "" is spelled out midway through the song"
1.8592619, farms, horses . The target will be reduced to 300 horses in stages starting in 2009 . These horses are either taken directly to slaughter or are placed at holding farms for later slaughter or adoption by private homes . A
1.8489316, guns," rates , carrying 110 or 120 guns , against 100 guns on the largest British vessels . 


 = = = Royal Navy = = = 


 Since the Spanish Armament of 1790 ,"
1.8433483, guns, 12 @.@ 7 mm ( 0 @.@ 50 in ) AA machine guns . Two single mounts for 76 @.@ 2 mm ( 3 @.@ 00 in ) 34 @-@
1.8416369, assets," the franchise was going into another rebuilding phase . He further noted that he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best"
1.8380653,herry," Félix and consisting of two frigates based at Mahé , a small French port 7 miles ( 11 km ) south of Tellicherry . The French had communicated to the British at Tell"
1.837728, houses," their houses outside the fortress and a village called al @-@ Husn has since developed . Many of the al @-@ Husn 's roughly 9 @,@ 000 Muslim residents benefit economically"
