Activacion,Tokens Id,Context
1.601868, B," the symmetrical 2 ... Nc6 3.g3 g6 4.Bg2 Bg7 , or after 3.Nf3 Nf6 ( transposing to the Four Knights"
1.5854322, being," being replaced by Sanford for just over three minutes . Columbus won the game 2 – 1 in a shootout , breaking a nine @-@ game losing streak to the Canucks . After the game , Arniel"
1.5854322, being," being a member of the musical groups The Bird and the Bee and <unk> Tah ( the first three being Lily Allen 's It 's Not Me , It 's You in 2009 , S"
1.5854322, being," being distributed in St. Croix . A large oil refinery , which produces 500 @,@ 000 barrels per day ( 79 @,@ 000 m3 / d ) , was shut down and only"
1.5854322, being, being serialized in Dengeki Maoh between 2011 and 2012 ; and Senjō no Valkyria 3 : <unk> Unmei no <unk> <unk> ( �
1.5854322, being," being considered for the role of Monica , but fought to play Rachel because she felt that the character suited her better . At one point , Cox had begun to regret her decision to play Monica until her own"
1.5854322, being," being removed from the herd . However , core animal welfare groups felt that shooting was the most humane option . Trial musters were conducted in 1993 , 1994 and 1995 , and were successful , although costly and"
1.5854322, being," being decommissioned in 1922 . Overhauled in 1931 , she returned to service with the United States Pacific Fleet on training and patrol for the next 10 years . She was present during the attack on"
1.5816463, AT," = = Description = = 


 The Arihant @-@ class submarines are nuclear powered ballistic missile submarines built under the Advanced Technology Vessel ( ATV ) project . They will be the first"
1.5648959, B, position arises after 1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5 @.@ 0 @-@ 0
