Activacion,Tokens Id,Context
1.8133991,6,"-@ organic derivatives , anions , and cations . Examples include Sb ( C6H5 ) 3 ( <unk> ) , Sb2 ( C6H5 ) 4 ("
1.8049518,5,> Qd1 + 28 . <unk> Qc2 + 29 . <unk> Bc5 + 30 . <unk> Qxc5 + 31 . <unk> Qf2
1.8011416,6, . Qd2 Qxb2 9 . Rb1 Qa3 10 @.@ f5 Nc6 11 @.@ fxe6 fxe6 12 . <unk> b
1.7962201, CS," Near Threatened . 


 = = Taxonomy and phylogeny = = 


 The first scientific description of the plain maskray was authored by Commonwealth Scientific and Industrial Research Organisation ( CSIRO"
1.7960968,5,"-@ organic derivatives , anions , and cations . Examples include Sb ( C6H5 ) 3 ( <unk> ) , Sb2 ( C6H5 ) 4 ("
1.7949517,5, @.@ dxe6 fxe6 24 @.@ e5 ? Ftáčnik recommends instead <unk> Rxd8 <unk> Bc5 + 25 . <unk>
1.7928329, 4,"unk> g6 <unk> Bg7 4 @.@ 0 @-@ 0 0 @-@ 0 <unk> d6 ( Reinhard – Fischer , Western Open 1963 ) ,"
1.7928017,5,"d4 <unk> <unk> , or <unk> Ne7 8.c3 Ba5 <unk> c6 <unk> Ng6 <unk> d5 , when <unk"
1.7903383,6,"d4 <unk> <unk> , or <unk> Ne7 8.c3 Ba5 <unk> c6 <unk> Ng6 <unk> d5 , when <unk"
1.7794749,7, position arises after 1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5 @.@ 0 @-@ 0
