Activacion,Tokens Id,Context
1.5405158, four," four goals in four games in the CHA , then signed with the Haileybury Comets of the National Hockey Association ( NHA ) , a league formed in December 1909 , which proved to be"
1.5405158, four," four homes were destroyed by the storm surge , which also made some areas impassible . The storm surge also flooded parts of the Anse la Raye Quarter , leading to officials declaring a mandatory evacuation"
1.5302149, five," five original songs on Wrapped in Red , some of which were written in December 2012 to avoid writing Christmas tunes during the 2013 summer season . She co @-@ wrote the opening and the title track"
1.5302149, five," five categories : "" good "" ( eleven cardinals ) , "" indifferent "" ( eight ) , "" doubtful "" ( three ) , "" bad "" ( fifteen ) and "" very bad "" ( six )"
1.5136019, three," three speakers at these "" Journal Club "" meetings . This time the speakers were Niels Bohr , Albert Einstein , and Ed Creutz . To be on the same program with these two giants of scientific"
1.5136019, three," three home wins are tied for the second fewest ever , and an eleven @-@ game losing streak from December 8 , 1924 , until February 17 , 1925 , set a record for longest losing streak"
1.5136019, three," three championships , but there were signs that Jordan was tiring of his massive celebrity and all of the non @-@ basketball hassles in his life . 


 = = = = G"
1.5136019, three," three spaces between sentences . This gradually shifted to two spaces , while the print industry remained unchanged in its wide em @-@ spaced sentences . Some sources now state it is acceptable for monospaced fonts"
1.4881384, seven," seven south @-@ facing terraces on the northern side of the platform , rising 71 metres ( 233 ft ) over the plaza below . It has a more distinct geometry than at most Maya sites ,"
1.4881384, seven," seven PCI Express x16 slots in the Asus <unk> motherboard were used in the building of the Fastra II computer . However , the video cards in the Fastra II are wide enough to require"
