Activacion,Tokens Id,Context
2.4650657, entities," several other space entities which are not collapsed , such as an em space , an en space , and a non @-@ breaking space . Some <unk> space characters are also not collapsed on the"
2.3073597, projects," this trip , he visited various archaeological projects , but was dismayed by the quality of their excavations ; in particular , he noted that the American @-@ run excavation at Tel Megiddo was"
2.289823, lights," to eliminate the three traffic lights along the southern end of the highway . The department planned to replace the existing signalized US 1 and Route 4 merge , converting it into a grade @-@ separated interchange"
2.258599, projects," number of educational projects . With this additional funding , he was able to employ more staff and increase his own annual salary to £ 900 . 

 Soon after joining the museum , Wheeler was elected to the"
2.2382858, teams," two teams were in need of a center . However , the Trail Blazers general manager Stu Inman contended that it was not a matter of drafting a center , but more a matter of taking Sam Bowie"
2.2332082, formations,"unk> . Two rock formations , Courthouse and Jail Rocks , become visible from the road . N @-@ 88 turns north toward Bridgeport soon after . The road crosses over Pumpkin Creek for the"
2.2175977, forces," paramilitary forces . Now convinced of the difficulty of his task , Imbert joins the other conspirators in plotting Trujillo 's death . Among the others is Antonio de la Maza , one of"
2.2095876, parties," involved in formal political parties , being elected as a local councillor and standing as a candidate in general elections . After moving to Bristol she became the first woman president of Bristol Trades Council . She was appointed"
2.1947534, forces," Brimsek , to enlist in their respective armed forces . The Bruins finished second in the NHL during the 1942 – 43 season with 24 wins in 50 games and Ross was again named in the Second"
2.1946983, zombies," as being employed to deal with sometimes well @-@ armed and organized human criminal or rebel opposition . 

 Ten years after the official end of the zombie war , millions of zombies are still active ,"
